brand,quantity,spice price,spice price,ean13,description,name,image,option,category
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Blanc Pierre Raies Double Zipper,/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Blanc-Pierre-Raies-Double-Zipper_05.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Blanc Pierre Raies Double Zipper
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Buckles Brun Velvet Jaune Cuir,/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Brun-Velvet-Jaune-Cuir_05.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Buckles Brun Velvet Jaune Cuir
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Buckles Serpentine Multicolore,/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Serpentine-Multicolore_03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Buckles Serpentine Multicolore
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Buckles Strass Sheepskin Noir,/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Buckles-Strass-Sheepskin-Noir_02.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Buckles Strass Sheepskin Noir
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Cuir Noir Velvet Rouge Double Zipper,/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Cuir-Noir-Velvet-Rouge-Double_04.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Cuir Noir Velvet Rouge Double Zipper
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Double Buckles Pierre Raies Noir,/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Double-Buckles-Pierre-Raies-Noir_01.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Double Buckles Pierre Raies Noir
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Noir Blanc Bleu Double Buckles,/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Blanc-Bleu-Double-Buckles_02.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Noir Blanc Bleu Double Buckles
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Noir Cuir Velvet Epissure Chain Or,/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-Cuir-Velvet-Epissure-Chain_04.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Noir Cuir Velvet Epissure Chain Or
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Noir litchi Raies Eagles Accessoires,/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_05.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Eagles_05.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Noir litchi Raies Eagles Accessoires
Giuseppe Zanotti,254,193,965,,"San Mauro Pascoli, a small village on Italy's Adriatic Riviera, is renowned for its fine cobblers. It's also the birthplace of designer Giuseppe Zanotti, whose collection of breathtakingly beautiful shoes also exhibits the quality craftsmanship worthy of his hometown's heritage. The Giuseppe Zanotti line debuted 1994, and since the beginning, the designer has included a jeweler, embroiderer, and heel expert on his staff.",Giuseppe Zanotti High Top Noir litchi Raies Fer Feuille,/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_03.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_04.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_01.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_02.jpg|||/p/Giuseppe-Zanotti-High-Top-Noir-litchi-Raies-Fer-Feuille_03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Giuseppe Zanotti High Top Noir litchi Raies Fer Feuille
