brand,quantity,List_Price,price,ean13,description,name,image,option,category
Christian Louboutin,254,175,875,,"Front Double is one of Spring/Summer's freshest picks.  Her elegant 100mm silhouette features slight peek of decollete. Channeling the spirit of art deco luxury, this colombe leather beauty will complete any look this season.                       Product care<br/>Reference : 1150552F055<br />                    Color : Colombe<br/>                            Material : Leather<br/>                                            Heel height : 100mm<br/>                                                    Collection : SS15<br/>",Christian Louboutin front double 100 mm,/cl/christianlouboutin-frontdouble-1150552_F055_1_1200x1200.jpg|||/cl/christianlouboutin-frontdouble-1150552_F055_2_1200x1200.jpg|||/cl/christianlouboutin-frontdouble-1150552_F055_3_1200x1200.jpg|||/cl/christianlouboutin-frontdouble-1150552_F055_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,175,875,,"Front Double is one of Spring/Summer's freshest picks.  Her elegant 85mm silhouette features slight peek of decollete. Channeling the spirit of art deco luxury, this colombe leather beauty will complete any look this season.                       Product care<br/>Reference : 1150616F055<br />                    Color : Colombe<br/>                            Material : Leather<br/>                                            Heel height : 85mm<br/>                                                    Collection : SS15<br/>",Christian Louboutin front double 85 mm,/cl/christianlouboutin-frontdouble-1150616_F055_1_1200x1200.jpg|||/cl/christianlouboutin-frontdouble-1150616_F055_2_1200x1200.jpg|||/cl/christianlouboutin-frontdouble-1150616_F055_3_1200x1200.jpg|||/cl/christianlouboutin-frontdouble-1150616_F055_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,135,675,,Monsieur Louboutin's classic half d'orsay pump "Iriza" is a stunning look for women who aren't afraid to be a little bit exposed.  The cutout vamp is very sexy for casual and formal dress alike.  This 100mm colombe leather version is a staple style that you will wear for seasons to come.                     Product care<br/>Reference : 3130525F054<br />                    Color : Colombe<br/>                            Material : Leather<br/>                                            Heel height : 100mm<br/>                                                    Collection : Classic<br/>,Christian Louboutin iriza 100 mm,/cl/christianlouboutin-iriza-3130525_F054_1_1200x1200.jpg|||/cl/christianlouboutin-iriza-3130525_F054_2_1200x1200.jpg|||/cl/christianlouboutin-iriza-3130525_F054_3_1200x1200.jpg|||/cl/christianlouboutin-iriza-3130525_F054_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,239,1195,,"Confusa's labyrinthine leather laces make this Spring/Summer style a sophisticated beauty.  Cloaked in ultra chic colombe nappa laminato and kid leather, this pointed toe, 100mm look has great potential for both daytime and evening.                    Product care<br/>Reference : 1150219F055<br />                    Color : Colombe <br/>                            Material : Leather<br/>                                            Heel height : 100mm<br/>                                                    Collection : SS15<br/>",Christian Louboutin confusa 100 mm,/cl/christianlouboutin-confusa-1150219_F055_1_1200x1200.jpg|||/cl/christianlouboutin-confusa-1150219_F055_2_1200x1200.jpg|||/cl/christianlouboutin-confusa-1150219_F055_3_1200x1200.jpg|||/cl/christianlouboutin-confusa-1150219_F055_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,259,1295,,"For the party girl in you, behold ""Follies Spikes.""  Cloaked in Monsieur Louboutin's iconic spikes, this feminine 120mm pump in gold mini glitter and metal is all you need to become an empress of the evening.                    Product care<br/>Reference : 11505293273<br />                    Color : Gold<br/>                            Material : Glitter<br/>                                            Heel height : 120mm<br/>                                                    Collection : SS15<br/>",Christian Louboutin follies spikes 120 mm,/cl/christianlouboutin-follies-1150529_3273_1_1200x1200.jpg|||/cl/christianlouboutin-follies-1150529_3273_2_1200x1200.jpg|||/cl/christianlouboutin-follies-1150529_3273_3_1200x1200.jpg|||/cl/christianlouboutin-follies-1150529_3273_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,189,945,,"Saluno is a seductive new look for evening.  Her sexy colombe fishnet pointed toe and T-strap are supported by a 120mm kid leather heel, creating the perfect silhouette for a sultry midnight tango.                    Product care<br/>Reference : 1150206F062<br />                    Color : Natural <br/>                            Material : Fishnet<br/>                                            Heel height : 120mm<br/>                                                    Collection : SS15<br/>",Christian Louboutin salonu 120 mm,/cl/christianlouboutin-salonu-1150206_F062_1_1200x1200.jpg|||/cl/christianlouboutin-salonu-1150206_F062_2_1200x1200.jpg|||/cl/christianlouboutin-salonu-1150206_F062_3_1200x1200.jpg|||/cl/christianlouboutin-salonu-1150206_F062_40_1200x1200.jpg|||/cl/christianlouboutin-salonu-1150206_F062_4_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,159,795,,"Pigalle Plato is our iconic ""Pigalle"" revisited.  With the addition of a slender platform, she maintains every bit of the sultriness of her namesake, while offering a touch more support from below.  This vibrant 120mm poppy, pervenche and mimosa patent leather version will infuse your Spring/Summer wardrobe with a happy dose of color.                      Product care<br/>Reference : 1110971O020<br />                    Color : Version Poppy <br/>                            Material : Patent Leather<br/>                                            Heel height : 120mm<br/>                                        Front platform : 20mm<br/>                                        Collection : Classic<br/>",Christian Louboutin pigalle plato 120 mm,/cl/christianlouboutin-pigalleplato-1110971_O020_1_1200x1200.jpg|||/cl/christianlouboutin-pigalleplato-1110971_O020_2_1200x1200.jpg|||/cl/christianlouboutin-pigalleplato-1110971_O020_3_1200x1200.jpg|||/cl/christianlouboutin-pigalleplato-1110971_O020_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,159,795,,"Monsieur Louboutin once said, ""I prefer shoes that undress to shoes that dress."" Behold ""Follies Resille,"" the new barely-there 120mm pump in the Fall/Winter collection. Her luxurious silver fishnet upper exposes nearly every inch of the foot, creating a silhouette that is exquisitely ""undressed.""                     Product care<br/>Reference : 3140603SV71<br />                    Color : Silver<br/>                            Material : Fishnet<br/>                                            Heel height : 120mm<br/>                                                    Collection : FW14<br/>",Christian Louboutin follies resille 120 mm,/cl/christianlouboutin-folliesresille-3140603_SV71_1_1200x1200.jpg|||/cl/christianlouboutin-folliesresille-3140603_SV71_2_1200x1200.jpg|||/cl/christianlouboutin-folliesresille-3140603_SV71_3_1200x1200.jpg|||/cl/christianlouboutin-folliesresille-3140603_SV71_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,135,675,,"Ron Ron is your match if you're looking for a round toe pump with a strong heel, low-cut vamp, and gorgeous arch.  Try this 100mm version in luscious poppy suede to add a pop of color to your Spring/Summer ensembles.                    Product care<br/>Reference : 3080438O016<br />                    Color : Poppy<br/>                            Material : Suede<br/>                                            Heel height : 100mm<br/>                                                    Collection : Classic<br/>",Christian Louboutin ron ron 100 mm,/cl/christianlouboutin-ronron-3080438_O016_1_1200x1200.jpg|||/cl/christianlouboutin-ronron-3080438_O016_2_1200x1200.jpg|||/cl/christianlouboutin-ronron-3080438_O016_3_1200x1200.jpg|||/cl/christianlouboutin-ronron-3080438_O016_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
Christian Louboutin,254,159,795,,"Monsieur Louboutin once said, ""I prefer shoes that undress to shoes that dress."" Behold ""Follies Resille,"" the new barely-there 45mm mid-heel pump. Her charming silver fishnet upper exposes nearly every inch of the foot, creating a silhouette that is exquisitely ""undressed.""                     Product care<br/>Reference : 3141115SV71<br />                    Color : Silver<br/>                            Material : Fishnet<br/>                                            Heel height : 45mm<br/>                                                    Collection : FW14<br/>",Christian Louboutin follies resille 45 mm,/cl/christianlouboutin-folliesresille-3141115_SV71_1_1200x1200.jpg|||/cl/christianlouboutin-folliesresille-3141115_SV71_2_1200x1200.jpg|||/cl/christianlouboutin-folliesresille-3141115_SV71_3_1200x1200.jpg|||/cl/christianlouboutin-folliesresille-3141115_SV71_40_1200x1200.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Pumps & High Heels|||abc
